Date,NAV
,
2022-10-25,10
2022-10-27,10
2022-10-28,10
2022-10-31,10.0011
2022-11-01,10.0054
2022-11-02,10.0372
2022-11-03,10.0178
2022-11-04,10
2022-11-07,10.0278
2022-11-09,10.0762
2022-11-10,10.0526
2022-11-11,9.9791
2022-11-14,10.1339
2022-11-15,10.1241
2022-11-16,10.1627
2022-11-17,10.1637
2022-11-18,10.1293
2022-11-21,10.1103
2022-11-22,10.035
2022-11-23,10.0784
2022-11-24,10.0903
2022-11-25,10.2041
2022-11-28,10.2196
2022-11-29,10.2449
2022-11-30,10.2763
2022-12-01,10.3499
2022-12-02,10.3215
2022-12-05,10.2852
2022-12-06,10.2952
2022-12-07,10.2658
2022-12-08,10.2242
2022-12-09,10.2494
2022-12-12,10.1919
2022-12-13,10.1921
2022-12-14,10.2501
2022-12-15,10.2776
2022-12-16,10.1482
2022-12-19,10.0709
2022-12-20,10.1505
2022-12-21,10.1325
2022-12-22,10.0345
2022-12-23,9.997
2022-12-26,9.8299
2022-12-27,9.9383
2022-12-28,9.9995
2022-12-29,9.9943
2022-12-30,10.0311
2023-01-02,9.987
2023-01-03,10.0347
2023-01-04,10.0528
2023-01-05,9.9533
2023-01-06,9.9257
2023-01-09,9.8568
2023-01-10,9.9823
2023-01-11,9.884
2023-01-12,9.8742
2023-01-13,9.855
2023-01-16,9.9072
2023-01-17,9.8753
2023-01-18,9.9587
2023-01-19,10.0177
2023-01-20,9.9881
2023-01-23,9.9458
2023-01-24,9.9944
2023-01-25,9.9946
2023-01-27,9.8768
2023-01-30,9.7277
2023-01-31,9.7525
2023-02-01,9.7566
2023-02-02,9.7696
2023-02-03,9.7923
2023-02-06,9.9171
2023-02-07,9.8652
2023-02-08,9.8338
2023-02-09,9.8988
2023-02-10,9.9213
2023-02-13,9.9022
2023-02-14,9.8613
2023-02-15,9.9456
2023-02-16,10.0001
2023-02-17,10.0089
2023-02-20,9.9615
2023-02-21,9.9084
2023-02-22,9.8991
2023-02-23,9.7551
2023-02-24,9.7309
2023-02-27,9.7075
2023-02-28,9.6732
2023-03-01,9.6143
2023-03-02,9.691
2023-03-03,9.617
2023-03-06,9.7538
2023-03-08,9.8131
2023-03-09,9.834
2023-03-10,9.7445
2023-03-13,9.6499
2023-03-14,9.5053
2023-03-15,9.4499
2023-03-16,9.4057
2023-03-17,9.412
2023-03-20,9.4736
2023-03-21,9.4139
2023-03-23,9.4805
2023-03-24,9.469
2023-03-27,9.3964
2023-03-28,9.4177
2023-03-29,9.4021
2023-03-31,9.4675
2023-04-03,9.6166
2023-04-05,9.6427
2023-04-06,9.7207
2023-04-10,9.7398
2023-04-11,9.7493
2023-04-12,9.8026
2023-04-13,9.8425
2023-04-17,9.852
2023-04-18,9.7926
2023-04-19,9.7691
2023-04-20,9.7405
2023-04-21,9.7466
2023-04-24,9.735
2023-04-25,9.7971
2023-04-26,9.818
2023-04-27,9.8447
2023-04-28,9.9032
2023-05-02,9.986
2023-05-03,10.0349
2023-05-04,10.008
2023-05-08,10.0909
2023-05-09,10.1143
2023-05-10,10.1089
2023-05-11,10.1341
2023-05-12,10.1253
2023-05-15,10.1377
2023-05-16,10.1904
2023-05-17,10.1621
2023-05-18,10.1167
2023-05-19,10.0806
2023-05-22,10.1173
2023-05-23,10.1524
2023-05-24,10.1603
2023-05-25,10.1332
2023-05-26,10.1581
2023-05-29,10.2525
2023-05-30,10.3132
2023-05-31,10.3351
2023-06-01,10.3146
2023-06-02,10.2934
2023-06-05,10.3401
2023-06-06,10.3899
2023-06-07,10.4162
2023-06-08,10.4967
2023-06-09,10.4314
2023-06-12,10.4042
2023-06-13,10.4292
2023-06-14,10.4978
2023-06-15,10.5219
2023-06-16,10.4994
2023-06-19,10.5891
2023-06-20,10.5588
2023-06-21,10.5823
2023-06-22,10.5726
2023-06-23,10.5153
2023-06-26,10.446
2023-06-27,10.4717
2023-06-28,10.5339
2023-06-30,10.6161
2023-07-03,10.7369
2023-07-04,10.7911
2023-07-05,10.8061
2023-07-06,10.8143
2023-07-07,10.8772
2023-07-10,10.7997
2023-07-11,10.8022
2023-07-12,10.8646
2023-07-13,10.8436
2023-07-14,10.8482
2023-07-17,10.9264
2023-07-18,10.9948
2023-07-19,11.0009
2023-07-20,11.0494
2023-07-21,11.1181
2023-07-24,11.0186
2023-07-25,10.9816
2023-07-26,10.9881
2023-07-27,11.0399
2023-07-28,11.0072
2023-07-31,11.0228
2023-08-01,11.0867
2023-08-02,11.0797
2023-08-03,10.9453
2023-08-04,10.89
2023-08-07,10.9411
2023-08-08,10.994
2023-08-09,10.984
2023-08-10,11.0436
2023-08-11,10.975
2023-08-14,10.9388
2023-08-17,10.9229
2023-08-18,10.8979
2023-08-21,10.8623
2023-08-22,10.915
2023-08-23,10.9427
2023-08-24,10.9857
2023-08-25,10.9674
2023-08-28,10.8986
2023-08-29,10.9305
2023-08-30,10.9483
2023-08-31,10.9666
2023-09-01,10.9145
2023-09-04,11.0112
2023-09-05,11.0701
2023-09-06,11.0818
2023-09-07,11.094
2023-09-08,11.159
2023-09-11,11.2384
2023-09-12,11.329
2023-09-13,11.2423
2023-09-14,11.2785
2023-09-15,11.3174
2023-09-18,11.3572
2023-09-20,11.3357
2023-09-21,11.2211
2023-09-22,11.1187
2023-09-25,11.1081
2023-09-26,11.1133
2023-09-27,11.1073
2023-09-28,11.1483
2023-10-03,11.0377
2023-10-04,11.0866
2023-10-05,10.9907
2023-10-06,11.0347
2023-10-09,11.0997
2023-10-10,11.0189
2023-10-11,11.1253
2023-10-12,11.1808
2023-10-13,11.1735
2023-10-16,11.1675
2023-10-17,11.1692
2023-10-18,11.2014
2023-10-19,11.119
2023-10-20,11.093
2023-10-23,11.0313
2023-10-25,10.8964
2023-10-26,10.8137
2023-10-27,10.6868
2023-10-30,10.8063
2023-10-31,10.8343
2023-11-01,10.8144
2023-11-02,10.7693
2023-11-03,10.8692
2023-11-06,10.9295
2023-11-07,11.0085
2023-11-08,11.019
2023-11-09,11.0534
2023-11-10,11.0328
2023-11-13,11.059
2023-11-15,11.0722
2023-11-16,11.1963
2023-11-17,11.2502
2023-11-20,11.2476
2023-11-21,11.2227
2023-11-22,11.2576
2023-11-23,11.2579
2023-11-24,11.2483
2023-11-28,11.2449
2023-11-29,11.2835
2023-11-30,11.3875
2023-12-01,11.4446
2023-12-04,11.5229
2023-12-05,11.7228
2023-12-06,11.7739
2023-12-07,11.8224
2023-12-08,11.8136
2023-12-11,11.8497
2023-12-12,11.8987
2023-12-13,11.8332
2023-12-14,11.8585
2023-12-15,11.9948
2023-12-18,12.1226
2023-12-19,12.1325
2023-12-20,12.1349
2023-12-21,11.9484
2023-12-22,12.0186
2023-12-26,12.0643
2023-12-27,12.1298
2023-12-28,12.2389
2023-12-29,12.3055
2024-01-01,12.3195
2024-01-02,12.3133
2024-01-03,12.2566
2024-01-04,12.2081
2024-01-05,12.3337
2024-01-08,12.3481
2024-01-09,12.2185
2024-01-10,12.2547
2024-01-11,12.2906
2024-01-12,12.3071
2024-01-15,12.4112
2024-01-16,12.5066
2024-01-17,12.4467
2024-01-18,12.2537
2024-01-19,12.2086
2024-01-23,12.332
2024-01-24,12.1123
2024-01-25,12.2376
2024-01-29,12.1896
2024-01-30,12.3973
2024-01-31,12.2649
2024-02-01,12.3574
2024-02-02,12.3476
2024-02-05,12.4196
2024-02-06,12.3776
2024-02-07,12.4771
2024-02-08,12.5232
2024-02-09,12.4758
2024-02-12,12.4828
2024-02-13,12.3644
2024-02-14,12.4209
2024-02-15,12.5084
2024-02-16,12.5721
2024-02-20,12.662
2024-02-21,12.7291
2024-02-22,12.6661
2024-02-23,12.793
2024-02-26,12.8208
2024-02-27,12.776
2024-02-28,12.8144
2024-02-29,12.6483
2024-03-01,12.6994
2024-03-04,12.8864
2024-03-05,12.9348
2024-03-06,12.9204
2024-03-07,12.9896
2024-03-11,12.9147
2024-03-12,12.859
2024-03-13,12.5667
2024-03-14,12.67
2024-03-15,12.5963
2024-03-18,12.6128
2024-03-19,12.4665
2024-03-20,12.4612
2024-03-21,12.6388
2024-03-22,12.7097
2024-03-26,12.7139
2024-03-27,12.7647
2024-03-28,12.888
2024-03-31,12.888
2024-04-02,13.0444
2024-04-03,13.0516
2024-04-04,13.0656
2024-04-05,13.0767
2024-04-08,13.1555
2024-04-10,13.2133
2024-04-12,13.1129
2024-04-15,12.9661
2024-04-16,12.9098
2024-04-18,12.8357
2024-04-19,12.9027
2024-04-22,12.9977
2024-04-23,13.0233
2024-04-24,13.091
2024-04-25,13.1557
2024-04-26,13.0864
2024-04-29,13.1982
2024-04-30,13.209
2024-05-02,13.2704
2024-05-03,13.1862
2024-05-06,13.1305
2024-05-07,13.0482
2024-05-08,13.0747
2024-05-09,12.8582
2024-05-10,12.9291
2024-05-13,12.9587
2024-05-14,13.0308
2024-05-15,13.048
2024-05-16,13.1696
2024-05-17,13.2387
2024-05-21,13.3232
2024-05-22,13.3984
2024-05-24,13.5575
2024-05-27,13.5689
2024-05-28,13.5091
2024-05-29,13.4196
2024-05-30,13.3074
2024-05-31,13.3253
2024-06-03,13.7576
2024-06-04,12.8895
2024-06-05,13.3485
2024-06-06,13.5014
2024-06-07,13.7535
2024-06-10,13.7661
2024-06-11,13.7619
2024-06-12,13.8162
2024-06-13,13.8836
2024-06-14,13.9818
2024-06-18,14.038
2024-06-19,13.9881
2024-06-20,14.0154
2024-06-21,13.979
2024-06-24,14.0109
2024-06-25,14.0978
2024-06-26,14.1594
2024-06-27,14.2455
2024-06-28,14.243
2024-07-01,14.3302
2024-07-02,14.3188
2024-07-03,14.4283
2024-07-04,14.4851
2024-07-05,14.5258
2024-07-08,14.5371
2024-07-09,14.6001
2024-07-10,14.5601
2024-07-11,14.571
2024-07-12,14.6466
2024-07-15,14.7282
2024-07-16,14.7168
2024-07-18,14.7642
2024-07-19,14.5646
2024-07-22,14.6344
2024-07-23,14.5981
2024-07-24,14.5955
2024-07-25,14.6034
2024-07-26,14.8684
2024-07-29,14.8976
2024-07-30,14.8893
2024-07-31,14.9416
2024-08-01,14.9484
2024-08-02,14.7992
2024-08-05,14.4022
2024-08-06,14.3188
2024-08-07,14.5582
2024-08-08,14.4595
2024-08-09,14.5974
2024-08-12,14.572
2024-08-13,14.438
2024-08-14,14.4506
2024-08-16,14.6785
2024-08-19,14.7123
2024-08-20,14.8044
2024-08-21,14.8528
2024-08-22,14.9129
2024-08-23,14.9124
2024-08-26,15.0154
2024-08-27,15.031
2024-08-28,15.0412
2024-08-29,15.0641
2024-08-30,15.1213
2024-09-02,15.1294
2024-09-03,15.1398
2024-09-04,15.1017
2024-09-05,15.0756
2024-09-06,14.8905
2024-09-09,14.8992
2024-09-10,14.9631
2024-09-11,15.1731
2024-09-12,15.1731
2024-09-13,15.1542
2024-09-16,15.1762
2024-09-17,15.2136
2024-09-19,15.1732
2024-09-20,15.2136
2024-09-20,15.3815
2024-09-23,15.5138
2024-09-24,15.504
2024-09-25,15.5115
2024-09-26,15.6101
2024-09-27,15.6214
2024-09-30,15.4312
2024-10-01,15.4265
2024-10-03,15.0898
2024-10-04,14.938
2024-10-07,14.7491
2024-10-08,14.9423
2024-10-09,14.9924
2024-10-10,15.0024
2024-10-11,14.9982
2024-10-14,15.0721
2024-10-15,15.0692
2024-10-16,15.0064
2024-10-17,14.8321
2024-10-18,14.8913
2024-10-21,14.7853
2024-10-22,14.5411
2024-10-23,14.5024
2024-10-24,14.4583
